i,n,lat,lon
602,5253367649,-3.7387599,-38.4839555
603,5253367650,-3.7417123,-38.4858307
604,5253367651,-3.7417098,-38.4859599
605,5253367652,-3.7435149,-38.4886868
606,7180519268,-3.7663318,-38.4389169
607,5253367654,-3.7437326,-38.4882882
608,4769549261,-3.8656689,-38.4402314
609,7192446875,-3.7875644,-38.5188576
610,4887938997,-3.8200722,-38.5859874
611,6509168570,-3.8562575,-38.6279112
612,2504525773,-3.7999906,-38.5035003
613,2863007695,-3.8442438,-38.5090189
614,2504525776,-3.7987625,-38.5033917
615,6620973009,-3.7737685,-38.5294378
616,6620973008,-3.7738963,-38.529506
617,6620973010,-3.7739766,-38.5293961
618,6620973012,-3.7735756,-38.5297709
619,2863007699,-3.8447957,-38.5073741
620,2874410975,-3.8039582,-38.5621844
621,2874410976,-3.8043954,-38.5619229
622,2874410977,-3.8029476,-38.5614953
623,2874410978,-3.8034951,-38.5611357
624,2874410979,-3.8055143,-38.5623803
625,2874410980,-3.8060244,-38.5632187
626,2874410981,-3.8042965,-38.5617659
627,2874410982,-3.8048796,-38.5613968
628,6215043049,-3.8612967,-38.4747344
629,6215043050,-3.8611857,-38.4746854
630,2032535557,-3.7190352,-38.5718197
631,1991772180,-3.7316878,-38.4824565
632,1991772181,-3.731491,-38.4829505
633,1991772185,-3.7315759,-38.4823838
634,1991772187,-3.7313828,-38.482953
635,7199655976,-3.8064915,-38.4933217
636,6621628509,-3.7235038,-38.56898
637,6621628510,-3.7232209,-38.5696625
638,6621628511,-3.724842,-38.5688809
639,6621628512,-3.7253957,-38.5690543
640,6621628513,-3.7268547,-38.5695192
641,6621628514,-3.7258817,-38.5686922
642,6621628515,-3.7257065,-38.5692242
643,6621628516,-3.7256173,-38.5696268
644,7185762405,-3.7281436,-38.4730182
645,2808481901,-3.7107477,-38.5809673
646,2808481902,-3.7108449,-38.5807376
647,3418228846,-3.768864,-38.6526181
648,3418228847,-3.7689322,-38.6526067
649,7185762470,-3.7284376,-38.4738601
650,265075243,-3.7400309,-38.5574776
651,4769450153,-3.8467972,-38.5747033
652,265075245,-3.7402478,-38.5585727
653,4769450167,-3.8555006,-38.5544301
654,4769450173,-3.8589086,-38.5549023
655,4769450174,-3.8590457,-38.5549107
656,4769450175,-3.8589565,-38.5548158
657,4769450179,-3.858616,-38.5513137
658,4430760136,-3.8271149,-38.528876
659,4430760137,-3.827587,-38.528967
660,5630724298,-3.7384489,-38.525426
661,4430760139,-3.8286627,-38.5291699
662,4430760138,-3.8280273,-38.529046
663,4430760140,-3.8274265,-38.5296889
664,4430760142,-3.8277644,-38.5280481
665,4430760143,-3.8281324,-38.5285242
666,4430760144,-3.8273585,-38.5275221
667,265075251,-3.7413844,-38.56399
668,4769450188,-3.8580712,-38.5508874
669,4769450195,-3.8587007,-38.54747
670,4769450196,-3.8585438,-38.5498694
